"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"10","1007.6","...","1009.4","2022-01-10 08:30","1004.7","2022-01-10 15:19","18.7","25.0","2022-01-10 14:21","14.2","2022-01-10 06:07","...","74","44","2022-01-10 14:22","1.0","3","5.5","336","2022-01-10 14:46","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1009.5","...","1011.5","2022-01-11 19:53","1007.3","2022-01-11 02:17","16.2","18.8","2022-01-11 12:55","13.5","2022-01-11 22:45","...","67","48","2022-01-11 12:56","1.8","350","8.2","344","2022-01-11 10:07","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1011.7","...","1013.8","2022-01-12 09:45","1010.0","2022-01-12 01:23","14.9","18.3","2022-01-12 15:44","13.3","2022-01-12 02:50","...","65","50","2022-01-12 15:47","0.9","234","3.1","249","2022-01-12 02:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1012.2","...","1014.7","2022-01-13 09:21","1009.7","2022-01-13 15:09","15.5","21.4","2022-01-13 13:00","11.8","2022-01-13 23:39","...","68","44","2022-01-13 13:00","1.4","342","7.5","310","2022-01-13 15:06","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1011.9","...","1014.1","2022-01-14 09:16","1008.8","2022-01-14 15:29","15.8","23.0","2022-01-14 14:16","10.6","2022-01-14 05:18","...","65","34","2022-01-14 14:16","0.8","1","4.9","25","2022-01-14 17:16","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1012.1","...","1014.1","2022-01-15 19:55","1009.7","2022-01-15 14:56","18.2","24.0","2022-01-15 14:39","14.9","2022-01-15 02:45","...","70","41","2022-01-15 12:25","0.9","336","5.6","338","2022-01-15 12:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1011.8","...","1013.8","2022-01-16 09:03","1009.0","2022-01-16 14:31","19.5","26.2","2022-01-16 15:45","15.0","2022-01-16 07:01","...","72","34","2022-01-16 15:45","1.1","7","5.3","334","2022-01-16 13:13","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1011.0","...","1012.5","2022-01-17 09:52","1009.3","2022-01-17 15:57","18.9","23.3","2022-01-17 13:29","16.9","2022-01-17 22:03","...","79","56","2022-01-17 13:30","1.4","341","6.3","329","2022-01-17 14:24","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1010.0","...","1011.6","2022-01-18 09:05","1007.6","2022-01-18 15:10","18.8","22.8","2022-01-18 13:41","16.2","2022-01-18 04:32","...","78","57","2022-01-18 13:41","1.3","322","7.0","339","2022-01-18 11:02","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1008.4","...","1010.3","2022-01-19 00:15","1005.7","2022-01-19 15:13","19.4","25.6","2022-01-19 13:57","16.4","2022-01-19 05:45","...","72","45","2022-01-19 13:57","1.1","320","5.2","334","2022-01-19 16:08","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1007.8","...","1010.0","2022-01-20 09:37","1005.9","2022-01-20 14:52","20.0","27.2","2022-01-20 14:09","14.7","2022-01-20 06:23","...","68","32","2022-01-20 14:09","0.8","119","4.7","317","2022-01-20 15:51","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1008.9","...","1012.0","2022-01-21 08:27","1007.2","2022-01-21 15:34","18.7","21.1","2022-01-21 13:45","17.4","2022-01-21 02:29","...","89","75","2022-01-21 14:16","1.3","260","5.9","1","2022-01-21 15:01","3.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1005.9","...","1008.7","2022-01-22 08:38","1003.4","2022-01-22 15:52","18.4","21.5","2022-01-22 14:31","17.1","2022-01-22 04:59","...","95","66","2022-01-22 14:31","1.0","6","5.8","7","2022-01-22 16:31","7.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1004.0","...","1005.3","2022-01-23 09:27","1002.5","2022-01-23 13:33","19.9","25.1","2022-01-23 12:39","17.5","2022-01-23 03:01","...","92","62","2022-01-23 11:42","0.8","13","4.4","228","2022-01-23 14:21","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1005.6","...","1007.2","2022-01-24 10:15","1004.4","2022-01-24 04:26","19.1","20.7","2022-01-24 11:04","17.7","2022-01-24 23:56","...","89","75","2022-01-24 11:38","1.0","2","5.8","3","2022-01-24 10:29","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1007.5","...","1009.5","2022-01-25 09:28","1005.3","2022-01-25 14:26","20.4","27.4","2022-01-25 14:16","17.2","2022-01-25 07:31","...","77","42","2022-01-25 14:16","0.9","8","6.1","333","2022-01-25 15:02","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","1008.5","...","1010.7","2022-01-26 09:41","1006.3","2022-01-26 13:45","20.9","27.9","2022-01-26 13:54","17.6","2022-01-26 06:48","...","80","38","2022-01-26 14:10","1.1","5","5.6","328","2022-01-26 15:09","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","1008.2","...","1010.0","2022-01-27 08:07","1005.9","2022-01-27 14:30","21.5","27.9","2022-01-27 12:20","18.1","2022-01-27 06:53","...","75","41","2022-01-27 12:21","1.1","332","5.9","342","2022-01-27 16:46","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","1007.1","...","1009.0","2022-01-28 00:01","1004.9","2022-01-28 16:29","20.2","23.7","2022-01-28 11:05","18.0","2022-01-28 05:52","...","78","58","2022-01-28 11:06","1.1","327","4.9","9","2022-01-28 01:20","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","1004.2","...","1007.2","2022-01-29 00:35","1001.3","2022-01-29 15:21","17.9","19.5","2022-01-29 15:29","16.9","2022-01-29 06:20","...","87","72","2022-01-29 15:48","1.4","349","5.3","334","2022-01-29 13:09","6.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","1007.5","...","1010.7","2022-01-30 20:48","1003.5","2022-01-30 01:17","15.5","18.1","2022-01-30 09:31","11.9","2022-01-31 00:00","...","75","53","2022-01-30 15:03","1.7","11","10.3","1","2022-01-30 13:24","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"31","1010.1","...","1011.5","2022-01-31 08:49","1007.6","2022-01-31 05:32","16.1","21.4","2022-01-31 13:26","11.0","2022-01-31 06:05","...","68","49","2022-01-31 15:08","1.1","264","5.8","341","2022-01-31 15:59","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
